Hash: 2165, Sign: 1138928, AesGcm: 15792
Hash: 2010, Sign: 1163849, AesGcm: 15188
Hash: 2086, Sign: 1144902, AesGcm: 15594
Hash: 2182, Sign: 1211670, AesGcm: 15093
Hash: 2409, Sign: 1217720, AesGcm: 14427
Hash: 2065, Sign: 1748874, AesGcm: 15943
Hash: 2032, Sign: 1131757, AesGcm: 14847
Hash: 2104, Sign: 1191003, AesGcm: 26524
Hash: 1974, Sign: 1360444, AesGcm: 16285
Hash: 2699, Sign: 2770191, AesGcm: 36604
Hash: 2026, Sign: 1132107, AesGcm: 14333
Hash: 1939, Sign: 1135583, AesGcm: 14501
Hash: 2072, Sign: 1144730, AesGcm: 16016
Hash: 1838, Sign: 1032663, AesGcm: 14138
Hash: 1786, Sign: 1021086, AesGcm: 14012
Hash: 1786, Sign: 1199245, AesGcm: 14266
Hash: 1859, Sign: 1113542, AesGcm: 15505
Hash: 1858, Sign: 1071928, AesGcm: 14377
Hash: 1610, Sign: 1034469, AesGcm: 16100
Hash: 1843, Sign: 1087240, AesGcm: 15903
Hash: 2480, Sign: 2713579, AesGcm: 15439
Hash: 2084, Sign: 1021159, AesGcm: 26626
Hash: 1814, Sign: 1168409, AesGcm: 13965
Hash: 1940, Sign: 998966, AesGcm: 15206
Hash: 1919, Sign: 1038310, AesGcm: 14277
Hash: 1989, Sign: 1108811, AesGcm: 16032
Hash: 1976, Sign: 1102072, AesGcm: 15712
Hash: 2448, Sign: 1455698, AesGcm: 15925
Hash: 1741, Sign: 1151308, AesGcm: 16592
Hash: 2158, Sign: 1187648, AesGcm: 15516
Hash: 1963, Sign: 1082533, AesGcm: 15496
Hash: 2102, Sign: 1112025, AesGcm: 18611
Hash: 1846, Sign: 1090658, AesGcm: 15245
Hash: 3727, Sign: 1107323, AesGcm: 15670
Hash: 2033, Sign: 1092423, AesGcm: 14665
Hash: 1877, Sign: 1143421, AesGcm: 15728
Hash: 2035, Sign: 1172656, AesGcm: 16005
Hash: 2006, Sign: 1112157, AesGcm: 16103
Hash: 2109, Sign: 1126200, AesGcm: 15603
Hash: 1945, Sign: 1102713, AesGcm: 15484
Hash: 5500, Sign: 1112663, AesGcm: 15753
Hash: 2717, Sign: 3416346, AesGcm: 16276
Hash: 2042, Sign: 1111049, AesGcm: 15870
Hash: 2024, Sign: 1157422, AesGcm: 15740
Hash: 1830, Sign: 1100317, AesGcm: 14655
Hash: 1961, Sign: 1053526, AesGcm: 15952
Hash: 1836, Sign: 1101277, AesGcm: 14251
Hash: 2651, Sign: 2190454, AesGcm: 15959
Hash: 1922, Sign: 1103845, AesGcm: 15646
Hash: 1906, Sign: 1190016, AesGcm: 15659
Hash: 1936, Sign: 1116982, AesGcm: 15223
Hash: 1870, Sign: 1098563, AesGcm: 15012
Hash: 2135, Sign: 1106619, AesGcm: 16053
Hash: 2048, Sign: 1123857, AesGcm: 16082
Hash: 13618, Sign: 1102634, AesGcm: 15595
Hash: 2529, Sign: 7717216, AesGcm: 14409
Hash: 1968, Sign: 1144822, AesGcm: 42621
Hash: 1934, Sign: 1056277, AesGcm: 14749
Hash: 1915, Sign: 1664515, AesGcm: 15924
Hash: 1991, Sign: 1069366, AesGcm: 14989
Hash: 1825, Sign: 1079015, AesGcm: 26388
Hash: 2007, Sign: 1142731, AesGcm: 15271
Hash: 2119, Sign: 1130732, AesGcm: 15542
Hash: 1666, Sign: 1028868, AesGcm: 16917
Hash: 1969, Sign: 1106627, AesGcm: 15636
Hash: 1730, Sign: 1167334, AesGcm: 15217
Hash: 1950, Sign: 1162782, AesGcm: 15502
Hash: 2004, Sign: 1119640, AesGcm: 15683
Hash: 1908, Sign: 1078326, AesGcm: 15630
Hash: 1902, Sign: 1100333, AesGcm: 15493
Hash: 2090, Sign: 1106940, AesGcm: 15227
Hash: 1846, Sign: 1124768, AesGcm: 15845
Hash: 1928, Sign: 1125965, AesGcm: 15757
Hash: 2016, Sign: 1159242, AesGcm: 1809947
Hash: 1914, Sign: 1139388, AesGcm: 20693
Hash: 1998, Sign: 1105432, AesGcm: 29838
Hash: 1922, Sign: 1121660, AesGcm: 13209
Hash: 2078, Sign: 1167308, AesGcm: 12117
Hash: 1911, Sign: 1161929, AesGcm: 12827
Hash: 1979, Sign: 1094659, AesGcm: 12918
Hash: 1834, Sign: 1138594, AesGcm: 12865
Hash: 1836, Sign: 1044979, AesGcm: 11616
Hash: 1849, Sign: 1112961, AesGcm: 11810
Hash: 1891, Sign: 1094655, AesGcm: 12417
Hash: 2049, Sign: 1111968, AesGcm: 12943
Hash: 2194, Sign: 2213410, AesGcm: 13167
Hash: 1820, Sign: 1106032, AesGcm: 13932
Hash: 2144, Sign: 1164706, AesGcm: 13219
Hash: 1897, Sign: 1108180, AesGcm: 13192
