chunk_compression, gcm_encryption, ecdsa_signature, lepton_compression, total_creation, dht_store, length normal ,length compressed, final_length
4.29606437683, 1.84607505798, 9.89603996277, 164.082050323, 17.3330307007, 212.859869003, 35429, 4888, 6536,
74.7230052948, 10.8969211578, 8.65817070007, 352.869987488, 95.9558486938, 274.857997894, 255482, 194160, 231613,
84.9781036377, 21.3930606842, 12.903213501, 350.666999817, 120.970964432, 298.7408638, 256322, 194261, 232462,
80.9161663055, 10.5819702148, 8.46886634827, 339.791059494, 101.94683075, 293.99895668, 246970, 186651, 223013,
83.9869976044, 16.6621208191, 8.54921340942, 344.998121262, 110.818862915, 318.93992424, 251275, 188991, 227197,
72.1008777618, 10.7932090759, 8.53109359741, 346.001148224, 93.1928157806, 265.337944031, 253107, 190078, 229040,
82.6508998871, 21.0199356079, 16.8759822845, 354.561090469, 122.396945953, 285.347938538, 251315, 191790, 227569,
82.3309421539, 13.0581855774, 8.57996940613, 347.448825836, 105.693817139, 264.750957489, 250177, 190412, 226414,
19.3438529968, 4.91404533386, 10.8110904694, 231.360912323, 36.4508628845, 209.916830063, 68763, 29723, 39978,
18.7928676605, 4.72116470337, 10.92004776, 212.476968765, 36.141872406, 167.322874069, 68096, 29207, 39287,
19.7970867157, 4.92691993713, 11.0220909119, 231.654167175, 37.1370315552, 205.676078796, 70311, 30894, 41503,
19.1278457642, 4.83798980713, 10.929107666, 211.533069611, 36.2858772278, 191.941976547, 68519, 29643, 39771,
19.4540023804, 4.77313995361, 10.8709335327, 208.600997925, 36.4949703217, 206.211090088, 68990, 29908, 40052,
15.7141685486, 4.70209121704, 10.9529495239, 246.845006943, 32.7560901642, 224.431037903, 65191, 28023, 37440,
32.2878360748, 7.99894332886, 12.0129585266, 302.671909332, 53.7528991699, 277.811050415, 104419, 58676, 76904,
55.5300712585, 13.6811733246, 14.2590999603, 263.620853424, 85.0400924683, 264.513015747, 169153, 116069, 143749,
55.2198886871, 13.7419700623, 14.151096344, 272.359848022, 84.704875946, 338.85383606, 169297, 116399, 144054,
55.2370548248, 7.14111328125, 7.16185569763, 254.973888397, 71.0890293121, 255.06401062, 169041, 115547, 143696,
37.5778675079, 9.22608375549, 12.5041007996, 320.513963699, 60.802936554, 204.854011536, 118338, 69950, 91092,
17.2548294067, 4.84204292297, 11.0728740692, 240.428924561, 34.5568656921, 189.386844635, 68480, 30567, 40677,
21.8000411987, 5.31601905823, 11.3351345062, 244.020938873, 39.882183075, 259.053945541, 75313, 34853, 46477,
22.0959186554, 5.39016723633, 11.1711025238, 233.047962189, 40.0469303131, 200.578927994, 75412, 34782, 46476,
27.7979373932, 6.41202926636, 11.4059448242, 304.241895676, 47.0750331879, 221.189975739, 88269, 44856, 59073,
22.7868556976, 5.63788414001, 11.3189220428, 253.067970276, 41.1739349365, 194.835186005, 77554, 36512, 48652,
12.1018886566, 3.57699394226, 10.51902771, 179.338932037, 27.5731086731, 167.197942734, 55136, 19540, 26182,
9.76991653442, 3.36194038391, 10.3809833527, 206.917047501, 24.9629020691, 179.455041885, 51792, 17561, 23512,
8.35299491882, 3.13901901245, 10.2829933167, 165.521144867, 23.1249332428, 192.348003387, 47478, 14226, 19092,
101.955890656, 13.4320259094, 9.52005386353, 321.509838104, 126.910924911, 308.745145798, 312435, 250501, 289044,
96.1258411407, 13.3090019226, 9.51910018921, 328.796863556, 120.687007904, 314.338922501, 309139, 248161, 285675,
85.7429504395, 13.2780075073, 9.42707061768, 314.260005951, 110.426902771, 289.748907089, 308391, 247425, 284894,
81.0649394989, 14.3671035767, 9.84001159668, 331.292152405, 106.980085373, 309.489011765, 333626, 266274, 310358,
82.8671455383, 13.9310359955, 9.6321105957, 348.209142685, 108.433961868, 278.111219406, 324829, 259293, 301346,
25.377035141, 5.97500801086, 11.4138126373, 255.262136459, 44.1582202911, 210.547924042, 83047, 40975, 54114,
20.4639434814, 5.07688522339, 10.8771324158, 247.180938721, 37.8229618073, 195.175170898, 71713, 31962, 42843,
23.8430500031, 5.65099716187, 11.3031864166, 240.273952484, 42.2241687775, 182.720899582, 78471, 37149, 49558,
21.9378471375, 5.36394119263, 11.1479759216, 225.035905838, 39.8778915405, 176.475048065, 74969, 34478, 46077,
27.3699760437, 6.37102127075, 11.6589069366, 304.296016693, 46.8339920044, 206.096887589, 87893, 44596, 58713,
7.14302062988, 2.7220249176, 10.2241039276, 193.362951279, 21.4910507202, 157.644033432, 44038, 11298, 15256,
16.8678760529, 4.72903251648, 11.0051631927, 236.078977585, 33.9570045471, 1169.12198067, 67259, 29633, 39462,
80.9571743011, 11.2669467926, 8.7468624115, 352.499961853, 102.799892426, 258.581161499, 263746, 202006, 239859,
59.5710277557, 11.372089386, 8.78310203552, 355.489969254, 81.3388824463, 278.650999069, 267698, 204975, 244011,
70.5890655518, 11.3971233368, 8.79192352295, 359.982013702, 92.7608013153, 275.665044785, 266698, 203652, 242822,
88.3359909058, 22.2079753876, 17.3270702362, 354.561090469, 129.556179047, 278.697967529, 265470, 203613, 241742,
88.1111621857, 15.0239467621, 8.69679450989, 353.491067886, 113.692998886, 401.626110077, 265154, 204606, 241597,
27.3349285126, 6.33382797241, 11.5389823914, 300.443172455, 46.6070175171, 196.625947952, 87434, 44270, 58259,
27.4770259857, 6.41107559204, 11.5141868591, 298.300027847, 46.8289852142, 231.790781021, 87616, 44371, 58373,
25.0101089478, 5.93400001526, 11.2869739532, 274.618864059, 43.6480045319, 187.851905823, 82007, 39948, 53031,
27.5001525879, 6.44302368164, 11.4929676056, 248.996019363, 46.844959259, 214.994192123, 87611, 44371, 58428,
5.96284866333, 2.30288505554, 10.1470947266, 157.544851303, 19.7198390961, 152.245998383, 40340, 8492, 11502,
11.8010044098, 3.6461353302, 10.5278491974, 204.654216766, 27.3249149323, 178.909063339, 55133, 20105, 26985,
81.8428993225, 13.0839347839, 9.42802429199, 334.774017334, 106.179952621, 321.434020996, 304259, 242730, 281080,
67.0838356018, 12.3131275177, 9.09614562988, 306.619882584, 90.3689861298, 313.276052475, 286464, 228670, 263293,
78.0520439148, 12.1059417725, 9.12189483643, 283.388137817, 101.230144501, 286.582231522, 282532, 222998, 258933,
62.8159046173, 10.2889537811, 8.33702087402, 314.19301033, 83.0769538879, 301.604032516, 242553, 182592, 218000,
73.4570026398, 14.1859054565, 8.17012786865, 312.328100204, 97.7320671082, 248.563051224, 228047, 171997, 203523,
70.620059967, 9.27519798279, 7.89308547974, 299.836158752, 89.5051956177, 260.704040527, 216647, 163602, 191857,
28.1491279602, 6.57105445862, 11.6529464722, 286.36097908, 48.2270717621, 223.191022873, 89648, 45952, 60506,
21.8539237976, 5.35297393799, 11.0189914703, 220.464944839, 39.6330356598, 190.561056137, 74334, 33896, 45378,
20.7228660583, 5.06591796875, 10.9891891479, 270.86687088, 38.1879806519, 210.293054581, 72410, 32637, 43618,
18.8448429108, 4.67300415039, 10.9040737152, 239.292144775, 35.7930660248, 171.314001083, 67962, 29112, 39118,
42.909860611, 10.4169845581, 13.1161212921, 364.499807358, 67.9178237915, 211.327075958, 131256, 81282, 104474,
43.9209938049, 10.7681751251, 13.1840705872, 366.822957993, 69.4398880005, 226.042985916, 136244, 85158, 109573,
54.5148849487, 13.3631229401, 14.0130519867, 260.457038879, 83.4610462189, 271.516084671, 164683, 111345, 139098,
61.2418651581, 9.1860294342, 8.07499885559, 292.294025421, 80.0731182098, 260.345935822, 218645, 164299, 194503,
79.1928768158, 22.5667953491, 16.5240764618, 324.365139008, 119.906902313, 262.776136398, 241215, 185345, 217622,
64.5520687103, 10.9958648682, 8.65387916565, 334.141016006, 85.8759880066, 281.219005585, 258003, 198815, 234333,
81.8810462952, 10.9679698944, 8.65697860718, 340.983867645, 103.255033493, 323.401212692, 256367, 198016, 232761,
79.265832901, 13.4999752045, 8.4969997406, 320.642948151, 102.980136871, 283.694028854, 246789, 191995, 223245,
23.8320827484, 5.75089454651, 11.4049911499, 285.493850708, 42.8860187531, 189.068078995, 79019, 37690, 50137,
29.5479297638, 7.49111175537, 11.9330883026, 272.053003311, 50.4350662231, 245.927095413, 97892, 54127, 70924,
21.3670730591, 5.3231716156, 10.9858512878, 256.650924683, 39.0779972076, 185.475826263, 73523, 33317, 44638,
21.9070911407, 5.28717041016, 11.335849762, 244.022130966, 39.9439334869, 186.707019806, 75099, 34662, 46246,
33.0638885498, 8.25905799866, 12.1109485626, 293.855905533, 54.8868179321, 237.051010132, 106474, 61194, 79505,
3.87620925903, 1.73020362854, 9.88793373108, 155.815124512, 16.802072525, 145.112037659, 33929, 3912, 5002,
108.156204224, 17.7040100098, 9.60803031921, 321.285963058, 137.508869171, 336.476802826, 319584, 256137, 296192,
85.4790210724, 13.7300491333, 9.56988334656, 328.785896301, 110.485076904, 290.128946304, 319709, 255688, 296448,
92.0350551605, 13.9548778534, 9.69481468201, 322.74389267, 117.693901062, 314.234972, 323681, 258842, 300229,
85.2191448212, 13.6218070984, 9.50288772583, 324.402809143, 110.156059265, 316.41793251, 315778, 253076, 292449,
96.3199138641, 14.261007309, 9.20915603638, 312.434196472, 121.846914291, 313.032150269, 294696, 236966, 271455,
85.7019424438, 13.640165329, 9.64903831482, 318.994045258, 110.66699028, 321.046113968, 316480, 253765, 293139,
28.557062149, 6.69503211975, 11.5361213684, 274.526119232, 48.2058525085, 250.323057175, 90655, 46290, 61873,
18.8069343567, 4.66799736023, 10.7889175415, 209.296941757, 35.6860160828, 177.763938904, 67482, 28713, 38674,
23.4868526459, 5.68699836731, 11.1570358276, 279.221057892, 41.7630672455, 262.79091835, 78255, 36938, 49288,
27.2841453552, 6.37197494507, 11.5330219269, 286.560058594, 46.5919971466, 202.074050903, 87515, 44265, 58466,
15.5251026154, 4.20188903809, 10.7529163361, 227.601051331, 31.8710803986, 200.721025467, 62256, 24938, 33475,
15.6400203705, 4.66799736023, 10.8439922333, 204.396009445, 32.5260162354, 202.558040619, 64953, 27692, 37014,
61.7198944092, 11.7008686066, 8.92090797424, 350.315093994, 84.1801166534, 342.934846878, 273065, 215756, 249506,
87.9590511322, 22.5448608398, 9.09018516541, 349.993944168, 121.470928192, 297.978878021, 267607, 209740, 244173,
83.2049846649, 11.225938797, 8.71300697327, 328.913927078, 105.068922043, 368.88718605, 262381, 202893, 238696,
91.313123703, 23.218870163, 17.7750587463, 322.176933289, 134.011030197, 520.332813263, 277275, 220892, 253779,
89.1878604889, 22.8509902954, 17.4481868744, 359.747171402, 131.765842438, 421.579122543, 272024, 214801, 248472,
90.3210639954, 23.0429172516, 9.0811252594, 359.090805054, 124.103784561, 387.614965439, 272977, 216013, 249493,
30.8499336243, 7.73906707764, 11.9919776917, 259.6180439, 52.0088672638, 401.099920273, 100949, 56691, 73966,
21.7440128326, 5.15604019165, 11.0220909119, 215.270996094, 39.7050380707, 258.663892746, 73351, 33195, 44485,
18.7509059906, 4.61483001709, 10.8571052551, 231.841802597, 35.6249809265, 266.007900238, 67037, 28359, 38253,
21.3530063629, 5.28192520142, 11.1680030823, 248.57711792, 39.1850471497, 234.042882919, 73473, 33359, 44687,
38.0868911743, 9.33599472046, 12.491941452, 306.882858276, 61.3989830017, 269.87195015, 119846, 71792, 92812,
55.5000305176, 13.6787891388, 10.4880332947, 252.604007721, 81.1920166016, 322.854042053, 168948, 115698, 143459,
80.3229808807, 12.4270915985, 9.0548992157, 312.861919403, 103.476047516, 492.276906967, 288902, 227358, 265360,
90.4898643494, 12.5880241394, 9.2511177063, 302.704811096, 114.00103569, 463.222026825, 293361, 230162, 270000,
66.910982132, 12.4218463898, 9.13190841675, 318.320989609, 90.4769897461, 365.688085556, 288789, 226128, 265426,
96.1470603943, 19.5279121399, 9.21607017517, 320.745944977, 126.770973206, 392.255067825, 293124, 230459, 269727,
73.4589099884, 12.3128890991, 9.12690162659, 304.034948349, 96.5240001678, 350.568056107, 286732, 225488, 263253,
83.359003067, 12.3121738434, 9.09996032715, 294.737100601, 106.502056122, 311.208963394, 285599, 226261, 262222,
11.1269950867, 3.49116325378, 10.4448795319, 212.548971176, 26.3998508453, 268.547058105, 53089, 18914, 25162,
12.4161243439, 3.72505187988, 10.6239318848, 184.739112854, 28.1729698181, 236.969947815, 55848, 20927, 27805,
21.5830802917, 5.27095794678, 10.959148407, 251.929998398, 39.2541885376, 238.33489418, 74586, 34252, 45708,
22.7880477905, 5.45692443848, 11.3120079041, 260.487794876, 40.952205658, 199.271917343, 77146, 36209, 48245,
13.1340026855, 3.6928653717, 10.6770992279, 184.53001976, 28.872013092, 221.001148224, 56554, 20450, 27723,
9.38296318054, 3.23605537415, 10.272026062, 173.797130585, 24.2540836334, 189.213037491, 48676, 15333, 20602,
30.8599472046, 7.45511054993, 11.9240283966, 263.212919235, 51.6860485077, 275.930166245, 99049, 54507, 71462,
55.2449226379, 13.6690139771, 14.2681598663, 332.128047943, 84.7079753876, 352.431058884, 168099, 115859, 142708,
56.5450191498, 14.0688419342, 14.2788887024, 268.034219742, 86.4689350128, 358.049869537, 173160, 120020, 148083,
47.9209423065, 11.5540027618, 13.4811401367, 379.332065582, 74.718952179, 267.245054245, 145401, 92409, 118728,
29.0939807892, 7.49707221985, 11.7909908295, 289.682149887, 49.8340129852, 259.948968887, 96996, 52816, 69461,
14.9350166321, 4.01592254639, 10.5259418488, 228.327989578, 30.8389663696, 247.102022171, 60656, 23612, 31785,
12.0298862457, 3.74007225037, 10.6229782104, 187.129974365, 27.773141861, 227.252006531, 55564, 20979, 27977,
31.909942627, 7.79891014099, 12.0849609375, 339.4780159, 53.2710552216, 249.783992767, 102554, 57609, 75542,
18.8059806824, 4.67491149902, 10.931968689, 211.301088333, 35.8099937439, 302.405118942, 67547, 28738, 38707,
21.4920043945, 5.32102584839, 10.9751224518, 224.421977997, 39.2138957977, 233.746051788, 74397, 34127, 45549,
27.2719860077, 6.37102127075, 11.6100311279, 275.362014771, 46.6740131378, 239.957094193, 87717, 44466, 58527,
3.97109985352, 1.8949508667, 9.94610786438, 152.221918106, 17.1010494232, 170.970916748, 34657, 4503, 5752,
46.7250347137, 11.2211704254, 13.2489204407, 371.99306488, 72.7860927582, 277.226924896, 141392, 89502, 114634,
47.5089550018, 11.5439891815, 13.3798122406, 388.404846191, 73.9710330963, 239.739179611, 144504, 92401, 117895,
90.7900333405, 23.2019424438, 13.2079124451, 346.39787674, 128.852844238, 368.25799942, 276009, 215550, 252542,
91.4511680603, 23.4611034393, 17.7199840546, 317.517995834, 134.435892105, 306.021928787, 279609, 220122, 256151,
93.4519767761, 21.045923233, 9.05990600586, 318.048000336, 125.378131866, 303.680896759, 282216, 223552, 258813,
78.5310268402, 11.3708972931, 8.74018669128, 341.989040375, 100.363969803, 332.84497261, 266253, 209843, 242716,
28.932094574, 7.43389129639, 12.0270252228, 295.991897583, 50.4100322723, 233.769893646, 97333, 53785, 70305,
21.3050842285, 5.31601905823, 11.1348628998, 223.851919174, 39.1731262207, 225.036144257, 73598, 33459, 44715,
21.9621658325, 5.34796714783, 11.207818985, 263.108968735, 39.9160385132, 206.345796585, 75450, 34896, 46568,
24.8379707336, 5.9061050415, 11.3639831543, 273.473978043, 43.5240268707, 219.707012177, 81450, 39530, 52483,
33.3099365234, 8.28385353088, 12.1557712555, 276.98802948, 55.1850795746, 235.435962677, 107839, 62099, 80839,
11.981010437, 3.80492210388, 10.6580257416, 200.425863266, 27.8148651123, 172.980070114, 55844, 20869, 28026,
90.5790328979, 23.3581066132, 17.6179409027, 303.21598053, 133.29911232, 314.909934998, 278289, 218554, 254893,
61.3222122192, 12.1059417725, 9.06300544739, 307.136058807, 84.212064743, 303.04312706, 283185, 221204, 259771,
